epoch,accuracy,loss,val_accuracy,val_loss
0,0.7300000190734863,0.7900351285934448,0.887499988079071,0.2974679470062256
1,0.7960000038146973,0.4834880530834198,0.8687499761581421,0.2978343069553375
2,0.8270000219345093,0.44611409306526184,0.8662499785423279,0.28336748480796814
3,0.8374999761581421,0.3922185003757477,0.9087499976158142,0.2578064203262329
4,0.8610000014305115,0.37147587537765503,0.8899999856948853,0.27611199021339417
5,0.8809999823570251,0.328105092048645,0.8974999785423279,0.2717359960079193
6,0.8784999847412109,0.3157227039337158,0.8212500214576721,0.41922587156295776
7,0.8995000123977661,0.27683016657829285,0.8912500143051147,0.3033728301525116
8,0.9010000228881836,0.27171072363853455,0.8824999928474426,0.2841776907444
9,0.8964999914169312,0.252968966960907,0.8862500190734863,0.3211548924446106
