epoch,accuracy,loss,val_accuracy,val_loss
0,0.7609999775886536,0.7322708964347839,0.8712499737739563,0.3030707836151123
1,0.8454999923706055,0.40278393030166626,0.9012500047683716,0.251356840133667
2,0.8820000290870667,0.30564039945602417,0.8974999785423279,0.24179983139038086
3,0.9039999842643738,0.2595268785953522,0.8799999952316284,0.35917994379997253
4,0.9125000238418579,0.2365497648715973,0.8525000214576721,0.4402415156364441
5,0.9265000224113464,0.20479099452495575,0.8887500166893005,0.2952674925327301
6,0.9355000257492065,0.18404874205589294,0.8637499809265137,0.4565844237804413
7,0.9380000233650208,0.1659855842590332,0.90625,0.29089945554733276
8,0.9434999823570251,0.14523303508758545,0.8999999761581421,0.3906112015247345
9,0.953000009059906,0.13090917468070984,0.8787500262260437,0.4076104760169983
