epoch,accuracy,loss,val_accuracy,val_loss
0,0.7630000114440918,0.6831212043762207,0.8387500047683716,0.36562806367874146
1,0.8414999842643738,0.39308691024780273,0.8837500214576721,0.2864764630794525
2,0.8694999814033508,0.34225350618362427,0.8762500286102295,0.273232638835907
3,0.890999972820282,0.2977696657180786,0.9087499976158142,0.2499104142189026
4,0.8995000123977661,0.2836354672908783,0.90625,0.24643197655677795
5,0.9200000166893005,0.23231486976146698,0.90625,0.24447964131832123
6,0.9235000014305115,0.22604802250862122,0.9049999713897705,0.2656691074371338
7,0.9244999885559082,0.20066650211811066,0.893750011920929,0.26299095153808594
8,0.9330000281333923,0.18719571828842163,0.8987500071525574,0.2923696041107178
9,0.9424999952316284,0.17377617955207825,0.8987500071525574,0.2813468873500824
