epoch,accuracy,loss,val_accuracy,val_loss
0,0.6919999718666077,0.827857255935669,0.7875000238418579,0.43100276589393616
1,0.7764999866485596,0.5143100619316101,0.8924999833106995,0.2913009524345398
2,0.7994999885559082,0.48804688453674316,0.8837500214576721,0.27954041957855225
3,0.8165000081062317,0.44453608989715576,0.8862500190734863,0.2796294689178467
4,0.8410000205039978,0.41938868165016174,0.8762500286102295,0.32121047377586365
5,0.8489999771118164,0.3817868232727051,0.8662499785423279,0.32196593284606934
6,0.859000027179718,0.3693036437034607,0.8787500262260437,0.2893020212650299
7,0.8634999990463257,0.34656664729118347,0.8512499928474426,0.34307339787483215
8,0.8799999952316284,0.3080328404903412,0.8687499761581421,0.3193148374557495
9,0.8845000267028809,0.3020079731941223,0.862500011920929,0.32049334049224854
