epoch,accuracy,loss,val_accuracy,val_loss
0,0.949999988079071,0.15199990570545197,0.8887500166893005,0.32637783885002136
1,0.9549999833106995,0.1364176869392395,0.8924999833106995,0.3693906366825104
2,0.9514999985694885,0.1488191932439804,0.8912500143051147,0.3130851984024048
3,0.9555000066757202,0.1324346959590912,0.8887500166893005,0.3536788523197174
4,0.968500018119812,0.1047125831246376,0.8837500214576721,0.45367708802223206
5,0.9624999761581421,0.11902887374162674,0.8999999761581421,0.4072050154209137
6,0.9674999713897705,0.09720306843519211,0.8862500190734863,0.4310756027698517
7,0.9649999737739563,0.08468227833509445,0.8974999785423279,0.45335307717323303
8,0.9754999876022339,0.08579226583242416,0.8924999833106995,0.4348456859588623
9,0.9754999876022339,0.0743790864944458,0.8949999809265137,0.5014033317565918
