epoch,accuracy,loss,val_accuracy,val_loss
0,0.6909999847412109,0.7585822343826294,0.8675000071525574,0.4246552586555481
1,0.7599999904632568,0.5286197066307068,0.8075000047683716,0.3797221779823303
2,0.7785000205039978,0.5049581527709961,0.9024999737739563,0.2813744843006134
3,0.800000011920929,0.4678419530391693,0.8887500166893005,0.3335714340209961
4,0.8245000243186951,0.42758166790008545,0.887499988079071,0.28826308250427246
5,0.828499972820282,0.41348251700401306,0.8774999976158142,0.28514376282691956
6,0.8414999842643738,0.3815179467201233,0.8812500238418579,0.28812915086746216
7,0.8554999828338623,0.3599047064781189,0.856249988079071,0.34029877185821533
8,0.859000027179718,0.35345083475112915,0.8600000143051147,0.3082450032234192
9,0.8650000095367432,0.34150430560112,0.8725000023841858,0.3457190990447998
