epoch,accuracy,loss,val_accuracy,val_loss
0,0.7670000195503235,0.6151450276374817,0.8424999713897705,0.3566712439060211
1,0.8535000085830688,0.3500319719314575,0.8725000023841858,0.3190102279186249
2,0.8889999985694885,0.2694917917251587,0.9049999713897705,0.26856333017349243
3,0.8924999833106995,0.26041170954704285,0.8774999976158142,0.28506413102149963
4,0.9150000214576721,0.22716915607452393,0.8887500166893005,0.2835717797279358
5,0.9275000095367432,0.18588930368423462,0.893750011920929,0.3124205470085144
6,0.9259999990463257,0.1834225058555603,0.9075000286102295,0.2965168058872223
7,0.9430000185966492,0.14283421635627747,0.9024999737739563,0.34421610832214355
8,0.9484999775886536,0.1356452852487564,0.8837500214576721,0.44080623984336853
9,0.953000009059906,0.12223018705844879,0.893750011920929,0.3339504599571228
