epoch,accuracy,loss,val_accuracy,val_loss
0,0.7360000014305115,0.6623190641403198,0.8274999856948853,0.3857109546661377
1,0.8245000243186951,0.4361165761947632,0.8287500143051147,0.40831881761550903
2,0.8525000214576721,0.3569650650024414,0.8862500190734863,0.28077971935272217
3,0.8740000128746033,0.3435916304588318,0.8849999904632568,0.2888554632663727
4,0.8820000290870667,0.3085513710975647,0.8824999928474426,0.3014312982559204
5,0.9049999713897705,0.26146501302719116,0.8887500166893005,0.27518340945243835
6,0.906499981880188,0.24973954260349274,0.8862500190734863,0.2745075821876526
7,0.9144999980926514,0.24129034578800201,0.8899999856948853,0.3088496923446655
8,0.9200000166893005,0.21297699213027954,0.8837500214576721,0.30410248041152954
9,0.9325000047683716,0.20673443377017975,0.8912500143051147,0.28753700852394104
